ident,longitude_deg,latitude_deg,municipality
PMDY,-177.380996704102,28.2017002105713,Sand Island
KORD,-87.90480042,41.97859955,Chicago
SCEL,-70.7857971191406,-33.3930015563965,Santiago
FZAA,15.4446001053,-4.38574981689,Kinshasa
PWAK,166.636001586914,19.2821006774902,Wake Island
SAEZ,-58.5358,-34.8222,Buenos Aires
CYEG,-113.580001831,53.3097000122,Edmonton
VECC,88.4467010498047,22.6546993255615,Kolkata
ORBI,44.2346000671,33.2625007629,Baghdad
KMIA,-80.2906036376953,25.7931995391846,Miami
WSSS,103.994003295898,1.3501900434494,Singapore
SBGL,-43.2505569458008,-22.8099994659424,Rio De Janeiro
TTPP,-61.3372001647949,10.5953998565674,Port of Spain
UUDD,37.9062995910645,55.4087982177734,Moscow
BIRK,-21.9405994415,64.1299972534,Reykjavik
OPKC,67.1607971191406,24.9064998626709,Karachi
LPPT,-9.13591957092,38.7812995911,Lisbon
LPAZ,-25.1706008911133,36.9714012145996,Vila do Porto
HECA,31.4055995941162,30.1219005584717,Cairo
PAFA,-147.8560028,64.81510162,Fairbanks
KSEA,-122.30899810791,47.4490013122559,Seattle
MMMX,-99.0720977783203,19.43630027771,Mexico City
YSSY,151.177001953125,-33.9460983276367,Sydney
GGBU,-15.8380794525146,11.2973556518555,Bubaque
KMSP,-93.2218017578,44.8819999695,Minneapolis
MPTO,-79.3834991455,9.0713596344,Tocumen
KJFK,-73.77890015,40.63980103,New York
SPIM,-77.1143035889,-12.021900177,Lima
KIAH,-95.3414001464844,29.9843997955322,Houston
PGSN,145.72900390625,15.1190004348755,Saipan Island
PLCH,-157.350006103516,1.98616003990173,Banana
CYYT,-52.7518997192,47.618598938,St. John's
SBNT,-35.2476997375,-5.91141986847,Natal
RJTT,139.779998779297,35.5522994995117,Tokyo
RPLL,121.019996643,14.508600235,Manila
EGLL,-0.461941003799,51.4706001282,London
TXKF,-64.6787033081055,32.3639984130859,Hamilton
ZUCK,106.641998291016,29.7192001342773,Chongqing
PHNL,-157.921997070312,21.3187007904053,Honolulu
KSFO,-122.375,37.6189994812012,San Francisco
FACT,18.6016998291,-33.9648017883,Cape Town
